"Показник","Територіальний розріз","Тип будівлі","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3","2025-Q4"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Україна","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","648942","280309","487873","825828","1128043","190490","390999","861445","1165037","255426","724315","1433429","1702427","333931","517132","682976","860963","102033","310572","502240","732321","214865","398304","613355","768545","135600","433737","692948",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Житлові будинки з двома та більше квартирами","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","15883","15883","","","","44895","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Житомирська","Офісні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","2743","","","","","","","10761","10761","","","","","","","","","","","","","","","","","","","","1065"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 3. Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","","","","75537","3500","36799","66300","110962","8632","35748","46675","64009","","13457","139958","147068","4437","4437","4437","","","","","1247","","1142","1350","1350","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Вінницька","Будівлі готельні та подібні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","1189","","","","6914","","","","","","2823","2823","2823","","","","","","","","782","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Інші нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","23906","1316","12480","35144","54325","","2269","4296","10678","1597","2208","","7177","1446","1446","1446","1446","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Житомирська","Будівлі готельні та подібні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","2656","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Дніпропетровська","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","78666","4397","24806","32361","43612","4370","","33500","43365","5302","18854","87118","104138","3520","11593","18827","20027","1903","8312","14767","32970","4828","10840","18171","26375","13242","17976","24111",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 3. Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","1369","2173","3458","4254","1222","2860","3405","","2337","18118","23090","26297","646","","22742","47811","","","","","","","","","","445","559","794","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Житлові будинки для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Автономна Республіка Крим","Інші нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Промислові та складські будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","25320","","5949","7378","9287","","7120","8039","11556","1167","3030","","4271","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Україна","Будівлі транспорту та зв'язку","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","103569","29242","55599","125245","148654","13482","29688","55760","76088","27833","79290","118051","158765","2912","12659","33038","47996","4096","19013","41607","69484","4291","24187","48335","53543","7854","27742","43726",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Україна","Будівлі готельні та подібні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","355790","77582","312348","393493","490570","108505","192487","276764","333412","25556","66348","733894","793509","12976","55061","90885","197567","64473","87573","104498","127176","23377","125026","294661","359732","115921","204431","349951",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Волинська","Офісні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","1170","","","","","","3000","5366","6364","","","","407","","","","6135","","4670","8061","13405","","","3008","3609","","10082","11051","11058"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Одноквартирні житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 3. Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","","","","4254","1222","2860","3405","","","","","","646","","","2916","","","","","","","","","","445","559","794","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Житомирська","Нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","125698","13227","65958","114840","136272","22691","31885","66841","89531","32114","46768","79809","93452","16249","18193","25716","32286","17879","102526","112729","221690","22578","42853","94305","116941","6725","23722","49483","58787"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Житомирська","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","9066","","15301","22972","29070","2830","6096","29920","32263","2526","7452","14761","16437","","1919","2956","4625","2958","5534","9614","84616","4120","7686","25626","36096","2102","8073","14326",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Автономна Республіка Крим","Житлові будинки для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Дніпропетровська","Промислові та складські будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","33359","25897","35262","44253","52274","6594","15881","36275","56141","28723","38037","54692","66963","8023","8736","15221","15221","4684","6226","33740","54086","10890","22762","30340","81368","9314","10448","20803",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Волинська","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","11251","5463","8929","18439","44769","4148","11805","16713","24018","7792","17856","21649","29102","","4364","9332","11718","5667","9282","12618","20644","","18291","29256","44825","11663","19976","33755",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","10165","","7605","10520","33907","6791","14348","16344","17728","1459","4956","10196","12437","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Дніпропетровська","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","24161","","1320","","12602","","11956","13486","14831","14732","14732","","16673","","","","14453","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Закарпатська","Житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","","3334","26146","114855","146891","19369","73776","109924","167768","20643","73508","97391","146447","44570","114632","167752","210655","34971","90623","108184","142749","32447","66840","124762","256032","7569","143455","292303","370187","47597","159335","368730","466318"
